Time [s],Pos ECEF X [m],Pos ECEF Y [m],Pos ECEF Z [m],Latitude [deg],Longitude [deg],Altitude [m],Vel ECEF X [m/s],Vel ECEF Y [m/s],Vel ECEF Z [m/s],Vel N [m/s],Vel E [m/s],Vel D [m/s],Roll [deg],Pitch [deg],Yaw [deg]
79,6378137.45199147,398.763445591893,217.292378014749,0.00196512579787885,0.00358215272071436,0.46818322617822,0.0809263091474501,-0.698960598553344,2.80001908600113,2.80001631024933,-0.698965656729217,-0.0809786444916761,0,0.00107976862848436,-13.1729801309734
80,6378134.83312004,395.818176225538,219.051629824287,0.00198103675203894,0.00355569637778901,-2.15081107998324,-0.0605714209461685,-0.762157205979633,3.09449596666914,3.09449806074888,-0.76215344553387,0.0605117251114852,0,0.00131722937724394,-10.0666997389056
81,6378136.48466251,395.534898955288,220.077358547535,0.00199031261383718,0.00355315073387288,-0.499250639362199,-0.0797931616715495,-0.291234594638388,3.06825884893871,3.06826161953047,-0.291229645770961,0.0797046384771977,0,0.00153673822711469,-7.1831441176107
82,6378138.03028747,394.148204509788,221.690208772452,0.00200489825102446,0.00354069298674386,1.04634471275286,-0.173927637967482,-0.151828938749857,3.25926892063851,3.25927500506048,-0.151818190297124,0.173822971479317,0,0.00173760084257776,-4.53861381872114
83,6378137.2940884,393.397248539557,227.20211719594,0.00205474649892737,0.00353394744350894,0.310294547892089,0.172239169398058,-0.238115043743421,3.18304016883724,3.18303399046022,-0.238125666833397,-0.172338632735906,0,0.00191993755605196,-2.14037196051671
84,6378133.55740511,394.68007366143,231.536152075335,0.00209394342055012,0.00354547333421612,-3.42615256642675,0.0941336679702673,-0.141045627572413,3.32857549385704,3.32857205172464,-0.141051452310988,-0.0942465866070287,2.36969789971673e-22,0.00208446466064365,0.0116050197295704
85,6378137.37634147,394.387297167092,233.776672321366,0.00211420473831105,0.00354284115551748,0.392847953704202,-0.0163987368331426,0.0449910956763479,3.23706478444679,3.237065387251,0.044992109593815,0.0162765076479468,-2.42657064930993e-20,0.00223228366493946,1.92277154927565
86,6378135.24588061,396.203118556651,235.944889271522,0.00213381414688884,0.00355915414441549,-1.73741998312882,-0.018328449452703,0.260816303082525,3.61779319847055,3.6177938779479,0.260817441123499,0.0181775136148743,7.2797119479298e-20,0.00236470283614074,3.60229548717243
87,6378134.42403459,398.319852167475,240.289638849351,0.00217310702852642,0.00357816955218157,-2.55897086630952,-0.123156259255281,0.0270075837417557,3.73176009349882,3.73176476180564,0.0270152749009115,0.123013034558714,-7.2797119479298e-20,0.00248310017940188,5.06160819953344
88,6378134.54092895,397.542796606891,244.328500142491,0.00220963323125498,0.00357118907507224,-2.44197051695283,0.0435423567798554,0.634959395312783,3.81884852820585,3.81884684461239,0.63495668012752,-0.0437292083778818,-4.85314129861987e-20,0.00258882686020206,6.31326323274848
89,6378138.47399401,398.402677444402,246.022953348253,0.00222495597346504,0.00357891131207974,1.49121375439959,-0.247925066191198,0.272994802815503,3.70945405643669,3.70946368060393,0.273010288621204,0.247763964716591,4.85314129861987e-20,0.0026831448420625,7.37008918597725
90,6378138.71687294,395.633750682018,252.971450429224,0.00228779595769298,0.00355403749027445,1.73419397523808,0.0121855349342881,0.413395334522538,3.94086782705868,3.94086733632998,0.413394577862693,-0.0123685348373637,-4.85314129861987e-20,0.00276719082205087,8.24459445256364
91,6378134.06511633,396.275705973335,256.998216979982,0.00232421450181605,0.00355980686746666,-2.9173607048495,-0.0492255182261814,0.349734090748877,3.92943443613811,3.92943642886643,0.349737148472561,0.0490443907126627,4.85314129861987e-20,0.00284195890721702,8.94857249341139
92,6378137.9317741,397.110865988256,260.816619898076,0.00235874554857565,0.00356730707831893,0.949505042512151,-0.065731869312796,0.703449115184895,3.91632650907444,3.91632920999414,0.703453206370053,0.0655268446615478,1.94125651944795e-19,0.0029082957509309,9.4928582243438
93,6378136.48395432,400.617148001793,262.543732313465,0.00237436556626487,0.00359880535774519,-0.498024127756576,-0.0873000952996064,0.529163198209864,4.0838933119582,4.08389692483347,0.529168680572542,0.0870976192138665,0,0.00296690336222768,9.8871931274743
94,6378135.18692998,401.691324682922,267.48249086079,0.00241903068979345,0.00360845558558934,-1.79477431057956,0.132257840233653,0.825769901430081,4.28867528185393,4.28866969190322,0.825761570268909,-0.132490914457657,-9.70628259723974e-20,0.00301834616300659,10.1401652393609
95,6378137.59542411,404.378152676311,271.257244983267,0.00245316749088245,0.00363259040714767,0.614050087866605,0.242396552223466,0.517531400573107,4.09479376892935,4.09478338535684,0.517516031430856,-0.242604685422966,9.70628259723974e-20,0.00306305996625505,10.2591983209345
96,6378137.94714663,402.792766773122,276.632275819941,0.00250177748554194,0.0036183484451197,0.965904702233812,-0.118205222879939,0.784647984567888,4.17361982195262,4.17362497715321,0.784655447910551,0.117973432371366,0,0.00310136136995279,10.2505714597652
97,6378137.31100781,399.538092157356,281.939802729423,0.00254977738763545,0.00358911156802389,0.32979514882611,0.0351256456571942,0.636916901907377,4.27844267148647,4.27844110231252,0.636914700323584,-0.0353559424846732,0,0.00313345664411875,10.1194558947813
98,6378135.41785351,401.389011688564,285.509792033232,0.00258206405104326,0.00360573973044635,-1.56308305652895,0.309336009665731,0.786280770205326,4.21162314507223,4.21160919817774,0.786261301505208,-0.309575289967801,0,0.00315944958585089,9.86996009132284
99,6378138.89913984,404.312247849072,288.627463507248,0.00261025789277783,0.00363199763167504,1.91852916901566,0.0753749393398913,0.844117857484677,4.35903712601305,4.35903368515081,0.844113077747401,-0.0756270352547625,0,0.00317934808026692,9.50517725448432
100,6378137.9328984,402.779537747833,293.712344795317,0.00265624439826951,0.00361822961486453,0.952424448246164,-0.123308805155034,0.589200962397142,4.38347789249739,4.38348360268393,0.589208748175789,0.123068377766537,9.70628259723974e-20,0.00319306927659505,9.02723179869987
101,6378137.51725546,405.293582180912,297.433096172897,0.00268989390935444,0.0036408138941228,0.537114355113098,-0.130127985044667,0.49763640175841,4.46845525134277,4.46846135411806,0.497644669631104,0.129886579910297,1.94125651944795e-19,0.00320044340149378,8.43732301901606
102,6378136.84830238,406.628131150036,301.604716165833,0.00272762105199737,0.00365280273357968,-0.131556556407283,0.0547136568183779,0.494019354965058,4.3398635197825,4.33986090866876,0.494015865777546,-0.0549517554800036,4.85314129861987e-20,0.00320121631116737,7.73576552709527
103,6378138.79617324,406.07711565868,306.472011102028,0.00277163853047743,0.00364785176305833,1.81651277026253,-0.166735028186772,0.480673776337315,4.41356767205629,4.41357573108846,0.480684390886128,0.166490921700229,1.45594238958596e-19,0.00319505094914981,6.92202707947766
104,6378138.14210175,405.548762158322,311.891244739327,0.0028206487024894,0.00364310585776298,1.1626721407351,-0.0764179734114929,0.347233572238045,4.39924159606815,4.39924535167711,0.347238430511228,0.0761793216639061,0,0.00318152794286921,5.99476536257668
105,6378133.56517645,405.968477807548,316.256158012522,0.00286012570477178,0.00364687884388444,-3.41401005836525,-0.120700888577351,0.2809675276388,4.47259725212075,4.4726032708761,0.280975209686427,0.120459738746848,0,0.00316014565192884,4.95186620819539
106,6378138.46909105,402.634947066259,320.970200311414,0.00290275584060816,0.00361693043080223,1.48993028485117,-0.100923831739465,0.375939627656557,4.36173022125508,4.36173532752355,0.37594599796101,0.100679122540843,2.42657064930993e-20,0.00313032008570556,3.79048667308257
107,6378138.61208076,409.839519752644,324.939200614126,0.00293865019286272,0.00368165011069203,1.63358119738422,0.0252156456878261,0.0861929079224828,4.30945668886318,4.30945538962264,0.0861912874649054,-0.0254422123403819,-2.42657064930993e-20,0.00309138524766467,2.50710748279387
108,6378138.10131855,407.346689326956,330.375605995133,0.00298781561198447,0.00365925693275656,1.12294045280784,0.0829297646455469,-0.0697502453531999,4.49058778279004,4.49058345235998,-0.0697555416100653,-0.0831594813571608,0,0.00304259464762287,1.0976005444744
109,6378135.47183268,408.330073384379,332.807148941919,0.00300980698946007,0.00366809233271219,-1.50635526702341,0.107118339200716,0.0942856509517482,4.33203628659199,4.33203065325981,0.0942787930115571,-0.107351941407175,0,0.00298312495698479,-0.442681431414064
110,6378137.07075142,410.403148999797,336.673495170086,0.0030447722843937,0.00368671416798894,0.0929008120706033,0.155632753966724,-0.190932611566459,4.16054454353341,4.16053626778454,-0.190942625407562,-0.155841564559692,0,0.00291208306531301,-2.11878475704407
111,6378138.19578436,407.937848208859,340.87015048541,0.0030827250061636,0.00366456734813203,1.21799999339721,-0.0171419149882142,-0.431067788821545,4.00763991971658,4.00764083769772,-0.431066691564128,0.0169538596310491,0,0.00282851811766187,-3.93599427481717
112,6378134.52488249,404.896491547615,344.857334046937,0.00311878567749364,0.00363724847503067,-2.45287987680396,-0.13811156106533,-0.267274126799611,3.9663805843181,3.96638809720301,-0.267265358668249,0.13791262536171,0,0.00273144043734457,-5.89962181073692
